Date	Latitude	Longitude	Type
01/03/2019 11:50:00 AM	41.88320956	-87.630156699	ASSAULT
01/03/2019 06:00:00 PM	41.792393636	-87.741661344	THEFT
01/02/2019 05:37:00 PM	41.756550472	-87.592600053	MOTOR VEHICLE THEFT
01/01/2019 12:15:00 PM	41.737329686	-87.734872105	OTHER OFFENSE
01/02/2019 06:02:00 PM	41.883091959	-87.679939156	CRIMINAL DAMAGE
01/02/2019 09:00:00 PM	41.726671103	-87.629818502	DECEPTIVE PRACTICE
01/03/2019 06:45:00 AM	41.72257925	-87.645673097	CRIMINAL DAMAGE
01/01/2019 06:00:00 AM	41.871054822	-87.696888584	BATTERY
01/01/2019 11:40:00 PM	41.895761856	-87.685705175	ASSAULT
01/02/2019 10:15:00 PM	41.772476122	-87.585055646	BATTERY
01/02/2019 04:45:00 PM	41.723983994	-87.676095532	CRIMINAL DAMAGE
01/01/2019 03:25:00 AM	41.810784565	-87.745688479	BATTERY
01/02/2019 07:11:00 PM	41.744226478	-87.643855503	CONCEALED CARRY LICENSE VIOLATION
01/01/2019 02:00:00 AM	41.951912521	-87.677192781	BATTERY
01/01/2019 12:02:00 AM	41.783120383	-87.613266958	WEAPONS VIOLATION
01/01/2019 11:00:00 AM	41.752829334	-87.565039426	BATTERY
01/03/2019 03:33:00 PM	41.892753031	-87.624193896	THEFT
01/01/2019 02:20:00 AM	41.911745659	-87.796073195	WEAPONS VIOLATION
01/01/2019 12:57:00 AM	41.952588198	-87.732443591	PUBLIC PEACE VIOLATION
01/02/2019 08:45:00 PM	41.916878854	-87.75513255	ROBBERY
01/03/2019 11:33:00 PM	41.843612132	-87.729394293	OTHER OFFENSE
01/03/2019 12:45:00 AM	41.880091936	-87.65198105	ROBBERY
01/01/2019 11:58:00 AM	41.732734999	-87.60715476	THEFT
01/03/2019 03:00:00 AM	41.878840427	-87.639582928	THEFT
01/02/2019 12:22:00 PM	41.677726252	-87.620501252	OTHER OFFENSE
01/03/2019 08:20:00 AM	41.80462016	-87.684368169	THEFT
01/01/2019 03:34:00 AM	41.751492287	-87.586596725	BATTERY
01/03/2019 10:48:00 AM	41.926261042	-87.766068398	ASSAULT
01/01/2019 03:36:00 AM	41.683894862	-87.534050495	BATTERY
01/03/2019 10:45:00 AM	41.87980954	-87.721738795	NARCOTICS
01/01/2019 03:40:00 PM	41.760701648	-87.65278737	BATTERY
01/01/2019 01:20:00 AM	41.89005498	-87.628575838	LIQUOR LAW VIOLATION
01/01/2019 11:00:00 PM	41.863652031	-87.73121019	THEFT
01/02/2019 10:00:00 PM	41.908596229	-87.677412451	CRIMINAL DAMAGE
01/02/2019 07:34:00 PM	41.871729153	-87.716873835	BATTERY
01/01/2019 07:15:00 AM	41.751330763	-87.601154923	BATTERY
01/01/2019 02:00:00 AM	41.940862621	-87.69787093	CRIMINAL DAMAGE
01/01/2019 03:59:00 AM	41.879660405	-87.70529302	BATTERY
01/01/2019 03:00:00 PM	41.940839439	-87.732822227	THEFT
01/01/2019 03:00:00 PM	41.900668723	-87.669871555	THEFT
01/03/2019 06:10:00 PM	41.924810527	-87.748795645	ROBBERY
01/03/2019 12:00:00 PM	41.836808691	-87.730885744	THEFT
01/03/2019 05:49:00 PM	41.766932865	-87.624914075	ASSAULT
01/01/2019 01:40:00 AM	41.889203826	-87.631640804	BATTERY
01/02/2019 02:30:00 PM	41.899047116	-87.766757441	ARSON
01/03/2019 10:00:00 AM	41.729497895	-87.656805957	BATTERY
01/01/2019 02:45:00 AM	41.944465172	-87.655074776	BATTERY
01/03/2019 08:32:00 AM	41.759936837	-87.576166565	DECEPTIVE PRACTICE
01/03/2019 05:00:00 PM	41.798578973	-87.668354764	THEFT
01/02/2019 09:22:00 PM	41.879256055	-87.644348413	OTHER OFFENSE
01/03/2019 01:17:00 AM	41.779640335	-87.652374516	WEAPONS VIOLATION
01/03/2019 10:00:00 PM	41.983117874	-87.655172255	THEFT
01/02/2019 05:58:00 PM	41.883094432	-87.679891391	ROBBERY
01/01/2019 05:00:00 AM	41.725286363	-87.581463987	CRIMINAL DAMAGE
01/02/2019 09:29:00 PM	41.770079376	-87.628288655	ASSAULT
01/01/2019 04:00:00 AM	41.868165405	-87.62743954	THEFT
01/03/2019 11:20:00 AM	41.934994367	-87.80664292	BURGLARY
01/03/2019 10:56:00 AM	41.892631803	-87.618362824	MOTOR VEHICLE THEFT
01/03/2019 04:15:00 PM	41.900993132	-87.627621735	DECEPTIVE PRACTICE
01/01/2019 08:56:00 PM	41.86162732	-87.736045588	BATTERY
01/03/2019 11:00:00 PM	41.811571424	-87.672336092	ASSAULT
01/03/2019 12:07:00 AM	41.768916724	-87.595229104	BATTERY
01/03/2019 04:04:00 PM	41.880279804	-87.762443285	THEFT
01/03/2019 10:30:00 PM	41.866199931	-87.723124109	NARCOTICS
01/01/2019 05:55:00 PM	41.788744568	-87.732832057	NARCOTICS
01/01/2019 04:26:00 AM	41.876581784	-87.76048603	CRIMINAL DAMAGE
01/02/2019 09:00:00 PM	41.726671103	-87.629818502	BURGLARY
01/02/2019 06:10:00 PM	41.774192845	-87.585292315	CRIMINAL TRESPASS
01/01/2019 05:00:00 AM	41.898550181	-87.698018785	CRIMINAL DAMAGE
01/03/2019 03:49:00 PM	41.764058413	-87.65985557	CRIMINAL DAMAGE
01/02/2019 03:45:00 PM	41.751689457	-87.665903469	ASSAULT
01/01/2019 02:45:00 PM	41.684945267	-87.652414778	THEFT
01/01/2019 01:34:00 PM	41.915075363	-87.706900549	CRIMINAL TRESPASS
01/01/2019 03:30:00 PM	41.925398449	-87.652311296	BATTERY
01/02/2019 08:20:00 PM	41.781496083	-87.607213484	OTHER OFFENSE
01/01/2019 03:50:00 PM	41.877565108	-87.68479102	BATTERY
01/01/2019 03:43:00 AM	41.898205851	-87.716402545	NARCOTICS
01/01/2019 09:30:00 AM	41.937636991	-87.688799009	CRIMINAL DAMAGE
01/02/2019 05:00:00 PM	41.703121769	-87.658129849	THEFT
01/02/2019 09:17:00 PM	41.865300341	-87.722706798	NARCOTICS
01/02/2019 07:20:00 PM	41.928076536	-87.785606186	THEFT
01/01/2019 12:31:00 AM	41.968444497	-87.709341738	CRIMINAL DAMAGE
01/02/2019 02:53:00 PM	41.660052743	-87.642532776	BATTERY
01/03/2019 10:00:00 PM	41.877072569	-87.726733001	NARCOTICS
01/02/2019 02:41:00 PM	41.95975508	-87.722890466	CRIMINAL DAMAGE
01/01/2019 08:15:00 AM	41.796216157	-87.723245665	THEFT
01/02/2019 07:00:00 AM	41.919000546	-87.800597909	BURGLARY
01/02/2019 01:19:00 PM	41.809347372	-87.61896323	NARCOTICS
01/03/2019 01:30:00 PM	41.79188395	-87.647525451	BATTERY
01/02/2019 01:56:00 AM	41.732997771	-87.555475438	WEAPONS VIOLATION
01/01/2019 06:28:00 PM	41.840280765	-87.713458245	INTERFERENCE WITH PUBLIC OFFICER
01/03/2019 07:35:00 PM	41.889575091	-87.634020278	MOTOR VEHICLE THEFT
01/03/2019 03:30:00 PM	41.881623795	-87.626200793	THEFT
01/03/2019 11:04:00 AM	41.800863342	-87.664766276	CRIMINAL TRESPASS
01/01/2019 02:45:00 AM	41.998203987	-87.659117722	CRIMINAL DAMAGE
01/02/2019 04:00:00 PM	41.732780387	-87.618771784	BATTERY
01/02/2019 08:00:00 AM	41.903559482	-87.727672548	BATTERY
01/01/2019 05:27:00 PM	41.758998634	-87.565467971	OTHER OFFENSE
01/02/2019 11:40:00 AM	41.893941929	-87.637759383	CRIMINAL DAMAGE
